corine,description,landuse,N
111,To be added,111,0.011
112,To be added,112,0.011
121,To be added,121,0.011
122,To be added,122,0.011
123,To be added,123,0.011
124,To be added,124,0.011
131,To be added,131,0.011
132,To be added,132,0.011
133,To be added,133,0.011
141,To be added,141,0.15
142,To be added,142,0.15
211,To be added,211,0.2
212,To be added,212,0.2
213,To be added,213,0.2
221,To be added,221,0.5
222,To be added,222,0.5
223,To be added,223,0.5
231,To be added,231,0.15
241,To be added,241,0.2
242,To be added,242,0.2
243,To be added,243,0.44
244,To be added,244,0.5
311,To be added,311,0.6
312,To be added,312,0.4
313,To be added,313,0.5
321,To be added,321,0.15
322,To be added,322,0.24
323,To be added,323,0.5
324,To be added,324,0.5
331,To be added,331,0.15
332,To be added,332,0.01
333,To be added,333,0.02
334,To be added,334,0.02
335,To be added,335,0.01
411,To be added,411,0.15
412,To be added,412,0.15
421,To be added,421,0.15
422,To be added,422,0.075
423,To be added,423,0.075
511,To be added,511,0.01
512,To be added,512,0.01
521,To be added,521,0.15
522,To be added,522,0.15
523,To be added,523,0.01
999,To be added,999,-999
