globcover,description,landuse,N
11,Post-flooding or irrigated croplands (or aquatic),11,0.2
14,Rainfed croplands,14,0.2
20,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%),20,0.44
30,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) ,30,0.56
40,Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m),40,0.3
50,Closed (>40%) broadleaved deciduous forest (>5m),50,0.8
60,Open (15-40%) broadleaved deciduous forest/woodland (>5m),60,0.4
70,Closed (>40%) needleleaved evergreen forest (>5m),70,0.1
90,Open (15-40%) needleleaved deciduous or evergreen forest (>5m),90,0.4
100,Mosaic forest or shrubland (50-70%) / grassland (20-50%),100,0.3
110,Mosaic forest or shrubland (50-70%) / grassland (20-50%),110,0.456
120,Mosaic grassland (50-70%) / forest or shrubland (20-50%) ,120,0.5
130,Closed to open (>15%) (broadleaved or needleleaved evergreen or deciduous) shrubland (<5m),130,0.5
140,Closed to open (>15%) herbaceous vegetation (grassland savannas or lichens/mosses),140,0.24
150,Closed to open (>15%) herbaceous vegetation (grassland savannas or lichens/mosses),150,0.02
160,Closed to open (>15%) broadleaved forest regularly flooded (semi-permanently or temporarily) - Fresh or brackish water,160,0.3
170,Closed (>40%) broadleaved forest or shrubland permanently flooded - Saline or brackish water,170,0.8
180,Closed to open (>15%) grassland or woody vegetation on regularly flooded or waterlogged soil -  Fresh brackish or saline water,180,0.15
190,Artificial surfaces and associated areas (Urban areas >50%),190,0.011
200,Bare areas,200,0.01
210,Water bodies,210,0.08
220,Permanent snow and ice,220,0.01
230,No Data,230,-999
